operator,new
Irwin Gas Coal Co.,irwin_gas_coal
George & Nicholas Wracher,george_nicholas_wracher
Catherine M. Newhouse,catherine_m_newhouse
W.W. Bush,ww_bush
A. Evans-W. Brunner & J.C. Tallant,a_evansw_brunner_jc_tallant
Charles E. Fait,charles_e_fait
Evancho Brothers,evancho_brothers
James Maestrole,james_maestrole
Richard Keibler,richard_keibler
B. & F. Coal Co.,b_f_coal
Aloe Coal Co.,aloe_coal
B.W. Dale,bw_dale
Wood Coal Co.,wood_coal
Reese Coal Co.,reese_coal
"Cartanel, Inc.",cartanel
New Enterprise Stone & Lime Co.,new_enterprise_stone_lime
Albert J. Baird,albert_j_baird
Redstone Coal Co.,redstone_coal
P. & L. Coal Co.,p_l_coal
C.P. & S. Coal Co.,cp_s_coal
Marsolino Coal Co.,marsolino_coal
"S.B. & S. Coal Co., Inc.",sb_s_coal
S.B. & S. Coal Co.,sb_s_coal
A. Ray Guseman Coal Co.,a_ray_guseman_coal
Leckrone Coal & Coke Co.,leckrone_coal_coke
Latrobe Construction Co.,latrobe_construction
William L. Piccolomini,william_l_piccolomini
Marsalino & Zapatosky Coal Co.,marsalino_zapatosky_coal
Ruane Coal & Coke Co.,ruane_coal_coke
Piccolomini Coal Co.,piccolomini_coal
Bunker Hill Coal Co.,bunker_hill_coal
D. Porterero & Sons Coal Co.,d_porterero_sons_coal
Swaney & Swaney,swaney
Harvey F. Gaskill,harvey_f_gaskill
D. & B. Coal Co.,d_b_coal
Edward Miller,edward_miller
Lee S. & Irene E. Ford,lee_s_irene_e_ford
Bridgeview Coal Co.,bridgeview_coal
Murphy Coal Co.,murphy_coal
Bridgeview Coal Co.,bridgeview_coal
Bridgeview Coal Co.,bridgeview_coal
Taylor & Taylor,taylor
Rosneck-Skovran & Satovich,rosneckskovran_satovich
P. & L. Coal Co.,p_l_coal
S. & P. Coal Co.,s_p_coal
Marsolino Coal co.,marsolino_coal
Bridgeview Coal Co.,bridgeview_coal
Bridgeview Coal Co.,bridgeview_coal
P. & L. Coal Co.,p_l_coal
Robert Lafferty,robert_lafferty
Miller Construction Co.,miller_construction
J. & M. Coal Co.,j_m_coal
"Dunlo Coal Co., Inc.",dunlo_coal
"Dunlo Coal Co., Inc.",dunlo_coal
"Bortz Coal Co., Inc.",bortz_coal
"Bortz Coal Co., Inc.",bortz_coal
Alfred Kennedy,alfred_kennedy
Menallen Coke Co.,menallen_coke
S C Mannie,s_c_mannie
Frank E. Pikulski,frank_e_pikulski
Bologna Mining Co.,bologna_mining
W.J. Lyda Coal & Land Co.,wj_lyda_coal_land
W.J. Lyda Coal & Land Co.,wj_lyda_coal_land
William Piccolomini,william_piccolomini
